total_step,stage,stage_step,n_episodes,success_rate,mean_reward,std_reward,min_reward,max_reward,mean_length,std_length,min_length,max_length,entropy_coef,learning_rate,clip_range,mean_entropy
5120,MiniGrid-DoorKey-5x5-v0,5120,100,0.26,0.105416,0.21208077268814352,0.0,0.8775999999999999,227.94,49.14444424347478,34,250,0.02,0.0003,0.2,1.7140000449475326
10240,MiniGrid-DoorKey-5x5-v0,10240,100,1.0,0.8644240000000001,0.06575736783053288,0.5968,0.9676,37.66,18.265935508481355,9,112,0.02,0.0003,0.2,1.3714352267244945
15360,MiniGrid-DoorKey-5x5-v0,15360,100,1.0,0.9586,0.011858161746240421,0.9208000000000001,0.9748,11.5,3.2939338184001206,7,22,0.02,0.0003,0.2,0.28114238484017157
20480,MiniGrid-DoorKey-5x5-v0,20480,100,1.0,0.9628480000000001,0.007445649467977918,0.9424,0.9748,10.32,2.0682359633272025,7,16,0.02,0.0003,0.2,0.2050580501321626
25600,MiniGrid-DoorKey-5x5-v0,25600,100,1.0,0.9603999999999999,0.009551879396223545,0.9279999999999999,0.9748,11.0,2.6532998322843198,7,20,0.02,0.0003,0.2,0.30589005193867114
30720,MiniGrid-DoorKey-6x6-v0,5120,100,1.0,0.95935,0.028850086654982513,0.7075,0.9775,16.26,11.540034661993005,9,117,0.02,0.0003,0.2,0.3151600013583496
35840,MiniGrid-DoorKey-6x6-v0,10240,100,1.0,0.9653249999999999,0.01206573143244951,0.905,0.98,13.87,4.826292572979802,8,38,0.02,0.0003,0.2,0.2085180851687988
40960,MiniGrid-DoorKey-6x6-v0,15360,100,1.0,0.96325,0.008392705165797263,0.9375,0.9775,14.7,3.357082066318904,9,25,0.02,0.0003,0.2,0.2505133659958817
46080,MiniGrid-DoorKey-6x6-v0,20480,100,1.0,0.9652499999999999,0.010905847055593623,0.915,0.98,13.9,4.362338822237447,8,34,0.02,0.0003,0.2,0.2356079392073081
51200,MiniGrid-DoorKey-8x8-v0,5120,100,1.0,0.9726062499999999,0.0076287734003409775,0.949375,0.98734375,19.48,5.42490552913136,9,36,0.02,0.0003,0.2,0.23926989253046582
56320,MiniGrid-DoorKey-8x8-v0,10240,100,1.0,0.964928125,0.019163034330857556,0.8228125,0.98453125,24.94,13.627046635276479,11,126,0.02,0.0003,0.2,0.3953397293045932
61440,MiniGrid-DoorKey-8x8-v0,15360,100,1.0,0.9686265625000001,0.012552220899574655,0.91421875,0.98453125,22.31,8.926023750808644,11,61,0.02,0.0003,0.2,0.3764109084049596
66560,MiniGrid-DoorKey-8x8-v0,20480,100,1.0,0.9691328124999998,0.010730664274019523,0.9296875,0.98453125,21.95,7.630694594858321,11,50,0.02,0.0003,0.2,0.3167564802272019
